"question","design","value","theme_short_name","theme_explanation","overarching_theme_short_name","overarching_theme_explanation"
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Exercising again would be the main issue as I think it would fall off","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","I don't think there are any situations, I could wear it during exercise as I don't think it would fall off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Again exercise would be my main concern it would move around too much and possibly cause injury.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","any physical activity","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","any activity","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","get in the way of any arm movements","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","doing vigorous exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Looks like it could fall off in certain situations such as exercise or leaning over.  Looks like headphones which might be inappropriate for work.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Might not be work appropriate, looks like it might get in the way during exercise, easy to lose.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Exercising - would usually be wearing an apple watch","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","might swing around while exercising","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Depending on the weight of the light logger, I may find it difficult to wear on certain lighter clothing. I also think it would be difficult to wear in any professional setting like at work. I would find it difficult to wear during exercise especially if the light logger does not sit securely.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","I think it would be difficult to wear the light logger when doing strenuous activity. I think it also might be difficult to wear it in social settings for users who do not usually wear glasses, since it would not look normal.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","The light logger on a warm hat would be very difficult to wear in any situation that is professional, like at work since often hats can be seen as disrespectful. At my work, I have a dress code, and the light logger would not adhere to it. The hat may be very difficult to wear when the user is feeling warm. This includes always in the summer and also during exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","This would be difficult to wear if jumping or moving during exercise. This may also be difficult to wear in professional settings.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","I think this might be difficult during exercise if it weighs down your t-shirt.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","This would be difficult to wear during  exercise if jumping and moving.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult", "wrist", "doing cleaning","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","doing fast activities","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","during workout","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","when running","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","black tie events  swimming  running on treadmill (chunky watches catch on the treadmill)","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","i wear glasses so i couldn't wear them on top.  you cant wear while exercising as they slip down","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","couldn't wear while doing exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","couldn't wear if running","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Become annoying during exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Awkward during exercise, cumbersome.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","Wearing a hat at home or during exercise is very unlikely","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Exercise could be restricted","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Washing dishes, showering, driving,","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","running","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Walking, driving","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Running, walking, visiting shops, working, eating","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Showering, cooking","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Showering, cooking","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","When cooking foods which require kneeding, swimming or showering.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","When exercising or doing physical activity.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","When doing exercise as jewellery/necklaces can be a safety concern","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","high movement activities","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","high movement activities, activities that require other facial wear, wet.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","heavy exercise or cold weathering when extra layers may be necessary","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","high exercise situations","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Unsure but maybe running where they slip or steam up","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","It could get caught in some exercise machines","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Any situation or activity when you are not using clothes.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Any activity involving water, difficult for peopole who are not used to wear glasses","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Any activitie that involves not wearing a shirt","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","When running","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","Anything that involves bending down, so housework, working out, even social contexts.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","anything involving bending down, or anything involving heat such as cooking and showering. also running or working out","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Any activities involving movement, which is many situations. Also any situation where appearance is important, which is person specific. For me, I would never wear it outside the house.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Any situation where appearance is important. The front of the top is not necessarily the most secure position either, so working out again.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","The movement of the necklace would not be appropriate for excercise. Also sleeping","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","I could see it being annoying when doing exercise/weightlifting","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","I could see this being irritating when exercising.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Exercising, social activities.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Exercising.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","during exercise and swimming","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","during swimming and exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Anything that involved general movement, if you we're to look down it would restrict movement","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Any physical activity","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Using the bathroom and having a shower. It may be abit annoying when I am at the gym picking up weights. I would probably take it off before doing cardio or weight lifting.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Playing with my child would be difficult as they would yank it off my top. Exercising with it that would be impossible as it would be in the way constantly","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","It would be easy to wear this around but only time it would be difficult would be exercising. I would worry I could break it with the gym equipment I use.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","running","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","it looks very bulky, so most of the time. the gym would be difficult as would using tools","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","training at the gym, driving","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","it would be difficult to exercise as it would likely bounce against ones chest","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","training at the gym this looks restrctive, in addition it would likely rub against clothing when trying to type","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","excercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Any situation that involves moving.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","during some exercises","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Since these are glasses I thinik that wearing them during some excercising might be difficult since they might fall","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Propably some social events with certain dresscode or during some sort of excercises","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","While lifting weights or sitting in a sauna.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","In any situation where exercise makes it a hinderance.  Also if I have to take my shirt off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Probably while I am in a reclined position or jumping around for exercise.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","While jogging it might be a little annoying to have this bouncing around.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","I fear it may fall down during physical activities.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","swimming, working out","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","in work, public meetings or visiting someone, because they might think it is a recording device and might make them feel unsecure","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","in most of the daily activities or situations, it might also be really useless for people, who do not wear glasses. Having glasses during any sport is a difficulty.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","while working out, because i think it might fall down","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","maybe running","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","doing sport, running, business meeting, in the summer at beach","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","running, sports, business","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","running, business hours, social context, at the beach, during warm months","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","when doing sports, in social context, during business meeting","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","elegant dressing, intensive sport, at the beack","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Bending and other movements might be affected by this, since it probably woudln't stick to the body so you could forget it was there","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","As long as it isn't bulky and is a discrete necklace, I don't see a situation where it would be hard to wear; if it is bulky and obvious, it's porbably not the best to wear to some social contexts.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","during physical work it would be annoying, during sleep","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","During exercise or a work when it's dangerous to wear it.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","If somethong can rip of my t-shirt","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","During exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Maybe at sport activities because glasses can easily break there (soccer, handball)","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","Maybe when you are moving so it can't hold on the shirt","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","At some sports activities it would be difficult","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","When u do something with ur arms and its too closely","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","if I play contact sports such as basket","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","It might fall off during some activity that requires a lot of movement","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","During activities that require movement, the placement seems to be heavy","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Running, moving a lot","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","sport practice like climbing or swimming","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","outdoor sport practice like rock climbing","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Sleeping, cooking","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Sleeping, swimming, playing football","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","Resting in a reclining position.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","In daylight or were there is a high density of light","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","in daylight or anywhere","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","anywhere","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","in a sunny weather","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","in daylight","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","gym and working","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","gym","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","collarpin","I think that it can be difficult if I'm doing physical exercise, because the likelihood to lost it is surely higher. Moreover, it can't be used if you are wearing a jumper or a coat, in general any clothes that hasn't a 'linear' collar.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","This type of ligh logger can be lost anytime moving around both for a 'classic' walk and during exerices. It is almost always diffucult to weat it!","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","chestpin","I think that in this way it can be lost. Moreover it must be 'pinned' on a t-shirt or similar, I can't pin it on a coat. So it can be used inside, and not outside. During exercise can be diffucult because if you are using some specific equipment it can 'conflict' with light logger","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","There are many situations in which it could be difficult to wear this type of ligh logger: for example in bycicle because this 'necklace' light logger will move around and not stay fixed on the t-shirt. This is the main reason because it could be difficult to use it in many situation, even on dinner or launch, there is the risk to dip it in your soup!","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","sleevecollar","As for the first type of light logger, the point is: will it be just to light detection or this can be just one more functionality of a different kind of wearable? For example, if it is integrated in a sport wearable, it can be useful and not difficult to use. If I must wear it specifically, I think that in the most of public occasions it will be difficult to use it (for a fashion reason)","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","housework, , sleeping","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","sports (especially yoga and pilates)","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","gym, active leisure, if you have poor eyesight and wear glasses","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","neckloop","gym","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","sports","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Maybe during houshold tasks like washing the dishes or anything that contains water. Depending on wether it's waterproof or not, I would have to take it off.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","Still depending on weight if it's too much or not. I think this is socially more inconspicuous. During exercise it would be a problem because of the movement and of course depending on the kind of sport because it would be really dangerous or even forbidden, if you're training with a team. I personally would'nt like wearing something like that all the time. Also, you have to put it over your jacket if it needs to be exposed as much as possible. It would be pretty visible, especially in the winter.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","Hard excercises, official meetings","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","glasses","Usually, i'm not wearing glasses, so it would be hard for me in most of the activities. Swimming for example","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","hatpin","working out, or inside activities, i do not like to wear a hat inside","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","necklace","exercise","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
"In what situations or activities do you think wearing the light logger might be difficult","wrist","When wanting to wear a watch for exercise (such as Garmin or Apple Watch), as it doesn't seem to be multifunctional.","AI","The logger hindering specific physical activities (work, sports, chores).","OT_PU","General usability and practicality concerns across designs."
