question,design,value
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,neck area
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Eye/Ear area
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Neck area
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,chest
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe one that can be attached to a backpack or to a shoe that way it can be easier to have on
Do you have any other comments on this survey?,general,I do not have anymore comments other than thank you for the opportunity.
In what situations or activities do you think wearing the light logger might be difficult,wrist,Work would be the only place.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"working out, jogging, work, daily activities."
In what situations or activities do you think wearing the light logger might be difficult,glasses,exercise
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"work, exercise"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,depends on the weight
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,jogging
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,none
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,collar of the shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,ankle or wrist band
Do you have any other comments on this survey?,general,no comments
In what situations or activities do you think wearing the light logger might be difficult,wrist,I think that during some types of exercise wearing it could be cumbersome.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I just think that it might be a little embarrassing to wear in social situations.
In what situations or activities do you think wearing the light logger might be difficult,glasses,It would probably be difficult to wear while working out.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,I think it could make exercising difficult. It would also be difficult to wear in situations where it would be inappropriate to wear a hat.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It might be difficult to wear in more formal situations.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,If it's too bulky it might look weird if you wear it around in public.
In what situations or activities do you think wearing the light logger might be difficult,necklace,It might be difficult to wear while exercising.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,It might be difficult to wear while wearing a long-sleeved shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It's worn on the wrist like a watch.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It's worn on your collar.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,They are worn as glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It's attached to a hat you wear.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,You wear it around your neck like certain types of workout earbuds.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,You wear on it on your chest.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Around your neck like a necklace.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,You wear it on your upper arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,You could possibly wear it on your waistband like you would a badge.
Do you have any other comments on this survey?,general,N/A
In what situations or activities do you think wearing the light logger might be difficult,wrist,It depends on the context of where. Maybe in the water it might be difficult  to wear or in a dark place where there isn't light to log.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,Wearing this during social settings might throw others off because of the placement of the light sensor.
In what situations or activities do you think wearing the light logger might be difficult,glasses,At home would be the most difficult because they look like glasses and most people would take them off at home to be comfortable.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,In most situations it would be difficult as it seems to be over a hat or a beanie. And most people don't wear those everyday.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,The most difficult would be in social settings.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"Maybe when wearing it to go to a social settings, but otherwise it does not seem to be too difficult."
In what situations or activities do you think wearing the light logger might be difficult,necklace,Mostly social settings it would be difficult to wear.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,In everyday settings this arm band could be difficult to wear around the arm and could cut of blood circulation if worn too long.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist where a watch would be.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,On the collar of a shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Over the eyes like glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Looks to be placed on the end of a beanie.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around the neck.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,On the chest over a shirt.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Around the neck.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,around the arm.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Something that could attach on any part of the body and still be away from normal wear. Like on the belt or something.
Do you have any other comments on this survey?,general,None.
In what situations or activities do you think wearing the light logger might be difficult,wrist,It might be difficult wearing the light logger at work
In what situations or activities do you think wearing the light logger might be difficult,collarpin,It might be difficult wearing it when exercising
In what situations or activities do you think wearing the light logger might be difficult,glasses,It might be difficult wearing at social settings
In what situations or activities do you think wearing the light logger might be difficult,hatpin,It would be difficult to wear while at work
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It would be difficult to wear at work or when exercising
In what situations or activities do you think wearing the light logger might be difficult,chestpin,It might be difficult to wear at work
In what situations or activities do you think wearing the light logger might be difficult,necklace,It would be difficult to wear at work
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,It would be difficult to wear at work
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,It is placed on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,It is placed around the neck on a shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,They are worn on the face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,It is placed on a hat which is then worn on the head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,It is wrapped around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,It is placed on the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,It is wrapped around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,It is wrapped around the arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,No
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,Maybe like excercise
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I dont know
In what situations or activities do you think wearing the light logger might be difficult,glasses,Like pushups or something
In what situations or activities do you think wearing the light logger might be difficult,hatpin,dont know
In what situations or activities do you think wearing the light logger might be difficult,neckloop,dont know
In what situations or activities do you think wearing the light logger might be difficult,chestpin,idk
In what situations or activities do you think wearing the light logger might be difficult,necklace,pushups
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,idk
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the hand
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,near the throat
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,the eyes
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,the chest
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,hand
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,no
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,Probably in situations like working out or going to the gym it might be difficult having that on while using equipment
In what situations or activities do you think wearing the light logger might be difficult,collarpin,When your going on a job and not wearing a shirt or going for a swim in situations where you wont have a shirt on.
In what situations or activities do you think wearing the light logger might be difficult,glasses,It feels like this is something that can only be worn when outside as it would seem like a camera that you are using to record people with even though its not
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Maybe when it gets to hot and you have to take the beanie off only then will it be difficult to use.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,I feel like this placement is the best for comfort and just having it on for a while. it also looks the best in my opinion
In what situations or activities do you think wearing the light logger might be difficult,chestpin,in situations like swimming where you wouldnt have a shirt on it would be difficult to use this device
In what situations or activities do you think wearing the light logger might be difficult,necklace,It might be difficult in jogging situations where it would be bouncing up and down non stop but other then the ugly design
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,This just seems like an item that would only be worn during fitness and excersise.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,it looks like its located on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Its located on the lower neck near the collar bone on the shirts collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Located on the glasses near the ear and head
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Its located on the top of the head where one would ware a beanie
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Its located on the neck like a chain and worn almost on the collar bone.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Its located near the chest on a shirt
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Its located near the center of the chest and is worn with a neckalce or chain
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Its located on the bicep
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,The design i think is the best for continuous ware is the one that lays on the collar bone and is shaped like a U. That can be worn with and without a shirt and can fit everyone comfortably
Do you have any other comments on this survey?,general,I don't I thought the questions were straightforward forward and it was a simple survey.
In what situations or activities do you think wearing the light logger might be difficult,wrist,during physical work
In what situations or activities do you think wearing the light logger might be difficult,collarpin,during work
In what situations or activities do you think wearing the light logger might be difficult,glasses,during work
In what situations or activities do you think wearing the light logger might be difficult,hatpin,wearing a hat is not always practical
In what situations or activities do you think wearing the light logger might be difficult,neckloop,social settings
In what situations or activities do you think wearing the light logger might be difficult,chestpin,going through security at the airport
In what situations or activities do you think wearing the light logger might be difficult,necklace,physical work
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,airport security
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,near the neck
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,on the head attached to glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,attached to a hat on the head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,near the shoulders and neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,on the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,near the chest on a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,on a band located on the arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"an alternative design could be a band located on the leg, allowing for comfort and style as well as practicality."
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,when maybe washing your utensils or dress.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,maybe swimming.
In what situations or activities do you think wearing the light logger might be difficult,glasses,when i am climbing a mountain or hill as a trip.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,na
In what situations or activities do you think wearing the light logger might be difficult,neckloop,WHEN MAYBE I AM GOING TO VISIT MY GRANDMA
In what situations or activities do you think wearing the light logger might be difficult,chestpin,na
In what situations or activities do you think wearing the light logger might be difficult,necklace,i can wear to anyplace
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,maybe when i am playing football.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"The light logger is located on the wrist of the person. It is positioned on the top of the wrist, centered between the hand and the forearm. It is attached to the wrist with a velcro strap and is visible to the naked eye"
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,this is a light logger on the color of a shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,this logger is located on the face of a person .
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,THIS IS POSITION AT THE HEAD SIDE
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,IT IS P[LACED ANGA`ROUND THE  NECK
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,IT IS LOCATED AT THE POCKET SIDE OF A SHIRT.
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,it is located at the neck side of the body.
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,it is located at the arm of the body.
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,NA
Do you have any other comments on this survey?,general,na
In what situations or activities do you think wearing the light logger might be difficult,wrist,Showering
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"sleeping, showering"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"While working, driving, watching tv, showering, exercising"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Pretty much all the time
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Showering
In what situations or activities do you think wearing the light logger might be difficult,chestpin,This would be difficult to remember to put on and might interfere with seat belt use
In what situations or activities do you think wearing the light logger might be difficult,necklace,"exercising, to bed, showering"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,All the time. Hate anything around my arms like sleeves.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,You wear it like a wristwatch
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Off center on the collar of your shirt
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,on the arm of a pair of glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Off center on the edge of your hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck like a pair of earphones
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,on your chest like a lapel pin
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,As a necklace
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Like an armband
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Attached to the top of your shoe or maybe like the collar one but attached to your sleeve
Do you have any other comments on this survey?,general,no
In what situations or activities do you think wearing the light logger might be difficult,wrist,exercising
In what situations or activities do you think wearing the light logger might be difficult,collarpin,none
In what situations or activities do you think wearing the light logger might be difficult,glasses,reading
In what situations or activities do you think wearing the light logger might be difficult,hatpin,cleaning
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"exercising, cooking,"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,"exercising, working,"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,none
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,on the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,side of glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,on head piece
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,neck area
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,dress collar
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,BROOCHES AND PINS. These are convenient and light to carry or place on the body
Do you have any other comments on this survey?,general,NO
In what situations or activities do you think wearing the light logger might be difficult,wrist,Yes
In what situations or activities do you think wearing the light logger might be difficult,collarpin,No
In what situations or activities do you think wearing the light logger might be difficult,glasses,No
In what situations or activities do you think wearing the light logger might be difficult,hatpin,na
In what situations or activities do you think wearing the light logger might be difficult,neckloop,no
In what situations or activities do you think wearing the light logger might be difficult,chestpin,no
In what situations or activities do you think wearing the light logger might be difficult,necklace,no
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,no
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,NA
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,NA
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,na
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,na
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,na
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,na
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,na
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,na
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Nanite is inherently a hierarchical level of detail structure that relies on being able to simplify small triangles into larger triangles and choosing the coarser one when it determines the difference is smaller than can be perceived.
Do you have any other comments on this survey?,general,"There were no issues during the study, and I was able to complete it smoothly, achieving the desired results."
In what situations or activities do you think wearing the light logger might be difficult,wrist,When cooking  When bathing
In what situations or activities do you think wearing the light logger might be difficult,collarpin,When bathing
In what situations or activities do you think wearing the light logger might be difficult,glasses,It just seems obtrusive in all situations
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Wearing a hat indoors is impractical most of the time.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,Exercise. It appears that it could be an uncomfortable weight and shape around the neck.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,couldn't be worn while bathing
In what situations or activities do you think wearing the light logger might be difficult,necklace,bathing  exercise - too loose and swinging
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,bathing
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,worn around the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,worn attached to the collar of clothing
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,attached to or as part of a pair of glasses
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,attached to a hat
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,worn around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,attached to upper chest area of worn clothing
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,"like a medallion, around the neck"
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,a wide band around the upper am
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"How about a finger ring? Unobtrusive, easily wearable, doesn't prevent any typical daily activities. If the electronics can be crammed in there, of course! It's an option I would choose."
Do you have any other comments on this survey?,general,None.
In what situations or activities do you think wearing the light logger might be difficult,wrist,push ups handstands
In what situations or activities do you think wearing the light logger might be difficult,collarpin,chest to floor movements
In what situations or activities do you think wearing the light logger might be difficult,glasses,swimming
In what situations or activities do you think wearing the light logger might be difficult,hatpin,none
In what situations or activities do you think wearing the light logger might be difficult,neckloop,handstand
In what situations or activities do you think wearing the light logger might be difficult,chestpin,none
In what situations or activities do you think wearing the light logger might be difficult,necklace,none
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,none
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,ear piece thats also headphones
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Intense activities like sport or heavy duty work, sleeping, medical procedures."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Sport activities, manual labor, sleeping, medical procedures."
In what situations or activities do you think wearing the light logger might be difficult,glasses,"Sport, during some work tasks, sleeping, med. procedures"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Any intense activities like sport or manual labor, formal appearance, sleeping, medical procedures."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"Physicals activities, manual work, medical procedures, sleeping."
In what situations or activities do you think wearing the light logger might be difficult,chestpin,"Sleeping, medical procedures, some sport activities like lifting the barbell."
In what situations or activities do you think wearing the light logger might be difficult,necklace,"Sport activities, manual work, formal appearance, sleeping, med procedures"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,"Sleeping, medical procedures, some heavy duty work or very intense physical activities."
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,Right or left wrist.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Neck area.
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"Head, eyes."
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Head
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Neck and shoulders.
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,Chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,Chest
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"It is difficult to say as I do not know details such as weight and dimensions. I believe the wrist is an optimal area with an attractive design, like a bracelet."
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Doing exercise, lifting weights at the gym."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Doing exercise, lifting weights."
In what situations or activities do you think wearing the light logger might be difficult,glasses,Anything physical like running.
In what situations or activities do you think wearing the light logger might be difficult,hatpin,Anything physical. Not sure how secure it would be on the hat.
In what situations or activities do you think wearing the light logger might be difficult,neckloop,It looks uncomfortable so I'm not sure that I would be able to do much movement with it on.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,It might be difficult in physical activities like running.
In what situations or activities do you think wearing the light logger might be difficult,necklace,During exercise it would get in the way.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,Lifting weights
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,On the top of your collar
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,glasses on face
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,A pin attached to a hat on your head.
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,Around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,pin on your chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,As a necklace around your neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Arm band
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,Maybe as a ring around your finger.
Do you have any other comments on this survey?,general,No
In what situations or activities do you think wearing the light logger might be difficult,wrist,I get a skin reaction (rash) when wearing watches. If that happens then it might be difficult for me to wear for long periods.
In what situations or activities do you think wearing the light logger might be difficult,collarpin,I think this might be even more comfortable than the watch so not very difficult
In what situations or activities do you think wearing the light logger might be difficult,glasses,I think this might block some of my peripheral vision
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"seems like this design is made to be worn with a hat, or is part of the hat, anyways, seems like you have to wear a hat to use it?"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,dont see any obvious difficulties
In what situations or activities do you think wearing the light logger might be difficult,chestpin,no difficulties seen
In what situations or activities do you think wearing the light logger might be difficult,necklace,it might bounce alot when jogging as an example
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,body strength exercises
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,"placed on the wrist, uncumbersome and looks fairly trendy with fitness watches"
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,looks unattractive and looks very obvious
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,"its design just looks very unattractive, reminds me of the google glasses"
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,placement is okay but could be a little cumbersome being so high up on the body
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,"seems okay, but perhaps a hoodie might block this device"
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,"seems fine, but it might extrude a little outwards if placed on the chest it feels like"
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,"more attractive looking than the rest, the necklace band might cause some risks perhaps?"
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,"placement is fine, and looks attractive"
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"I personally cycle, and the devices used in cycling always go onto the bicycle itself, so perhaps in other sports like cycling a design could be made onto the bicycle itself"
Do you have any other comments on this survey?,general,none
In what situations or activities do you think wearing the light logger might be difficult,wrist,"Swimming, sleeping, manual work"
In what situations or activities do you think wearing the light logger might be difficult,collarpin,"Manual work, getting a massage or facial"
In what situations or activities do you think wearing the light logger might be difficult,glasses,"When wearing glasses or sunglasses, vigorous exercise, manual work, swimming"
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"Any social or work context, swimming, vigorous exercise, most indoor activities"
In what situations or activities do you think wearing the light logger might be difficult,neckloop,"Facials and massages, swimming, manual work, when jewellery worn (ie necklace)"
In what situations or activities do you think wearing the light logger might be difficult,chestpin,Sleeping
In what situations or activities do you think wearing the light logger might be difficult,necklace,"Sport, swimming, when wearing other jewellery, manual work"
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,In social settings
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,On the wrist
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,Neck/collarbone (presumably clipped to a top)
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,Over the eyes (like sunglasses)
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,On the head (clipped to a hat presumably)
"Please describe, in your own words, the placement of
the light logger in the body.",neckloop,around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",chestpin,on the chest
"Please describe, in your own words, the placement of
the light logger in the body.",necklace,on the chest/around the neck
"Please describe, in your own words, the placement of
the light logger in the body.",sleevecollar,Around the upper arm
"Can you envision and elaborate on alternative designs for light loggers, specifically focused on enabling continuous wear?",general,"Clip-on to wear on the waist clipped to belt/trousers/trouser pocket     For women, a hair clip/hair tie"
Do you have any other comments on this survey?,general,"Interesting, thank you"
In what situations or activities do you think wearing the light logger might be difficult,wrist,"If a separate device from a smartwatch, it would feel uncomfortable wearing two wrist devices. May have connotations with ankle trackers."
In what situations or activities do you think wearing the light logger might be difficult,collarpin,First impression of the device is that it would look like a microphone and some may feel like they're being recorded if one is to talk to you.
In what situations or activities do you think wearing the light logger might be difficult,glasses,"I do not wear glasses, given the history of smart glasses and their perceived possibility of intruding on others privacy, even though the devices has no such capability, would probably not be welcome."
In what situations or activities do you think wearing the light logger might be difficult,hatpin,"If wearing a helmet is required, the pin would not be sufficient to attach it near the head. Taking helmet off and reattaching the light logger will be annoying.  The pin may also damage head wear."
In what situations or activities do you think wearing the light logger might be difficult,neckloop,The light logger may catch onto objects and remove them from the person wearing them. As they're not attached and merely placed upon the neck line.
In what situations or activities do you think wearing the light logger might be difficult,chestpin,The pin may damage clothing.
In what situations or activities do you think wearing the light logger might be difficult,necklace,Necklace could be dangerous around heavy machinery and may not be allowed to be worn.
In what situations or activities do you think wearing the light logger might be difficult,sleevecollar,I can not think of a situation where wearing an armband would be difficult.
"Please describe, in your own words, the placement of
the light logger in the body.",wrist,The light logger goes around the wrist and is worn much like a watch or smart device.
"Please describe, in your own words, the placement of
the light logger in the body.",collarpin,"The light logger is attached to the collar of a shirt, near your neck."
"Please describe, in your own words, the placement of
the light logger in the body.",glasses,The light logger is worn like a pair of glasses.
"Please describe, in your own words, the placement of
the light logger in the body.",hatpin,Light logger has a pin that can be pushed through a beanie or hat.
